jobId,nEvt,nProc,nInst,nInstOk,nShMem,slurmUserCpu,slurmWallTime,slurmAveRss,slurmMaxRss
5254912,1200,20,8,8,8,145056,1271,11758194688,11758194688
5254913,1600,20,8,8,8,182868,1537,11984121856,11984121856
5254914,1200,20,10,10,10,162590,1284,13842259968,13842259968
5254915,1600,20,10,10,10,213044,1491,14431854592,14431854592
5254916,1200,20,11,11,11,175162,1254,14919983104,14919983104
5254917,1600,20,11,11,11,228722,1425,15810494464,15810494464
5254918,1200,20,12,10,10,140083,1022,13670436864,13670436864
5254919,1600,20,12,12,12,250918,1404,16744243200,16744243200
5254920,1200,20,13,0,0,173776,7239,16053465088,16053465088
5254921,1600,20,13,13,13,258142,1388,17757728768,17757728768
5254904,1200,20,1,1,1,84385,4507,2060124160,2060124160
5254905,1600,20,1,1,1,111299,5781,2247655424,2247655424
5254906,1200,20,2,2,2,79511,2366,3450552320,3450552320
5254907,1600,20,2,2,2,110416,3112,3846967296,3846967296
5254908,1200,20,4,4,4,93690,1493,6305239040,6305239040
5254909,1600,20,4,4,4,126110,1937,6806814720,6806814720
5254910,1200,20,6,6,6,118751,1311,8964186112,8964186112
5254911,1600,20,6,6,6,158202,1639,9323921408,9323921408
