jobId,nEvt,nJobs,success,shMem,cpuTime,wallTime,userCpu,aveRss,maxRss
5220370,100,2,True,True,1090448,4009,7811,728432640,728432640
5220371,100,5,True,True,422960,1555,6683,868032512,868032512
5220372,100,10,True,True,299744,1102,8482,1128534016,1128534016
5220373,100,15,True,True,200192,736,7085,1304670208,1304670208
5220374,100,18,True,True,144704,532,6170,1410600960,1410600960
5220375,100,20,True,True,178976,658,7697,1558065152,1558065152
5220376,100,25,True,True,170272,626,6111,1610747904,1610747904
5220377,100,40,True,True,134368,494,7283,2112679936,2112679936
5220378,100,60,True,True,131376,483,7492,2604453888,2604453888
5220379,100,75,True,True,122672,451,7493,3276816384,3276816384
5220380,100,90,True,True,114784,422,7446,3385761792,3385761792
5220381,100,100,True,True,128928,474,10067,3848515584,3848515584
5220382,100,150,True,False,105264,387,8798,3660513280,3660513280
5220383,100,200,True,False,127840,470,9666,3988254720,3988254720
5220384,200,2,False,True,1970912,7246,14374,767205376,767205376
5220385,200,5,True,True,854624,3142,15087,954449920,954449920
5220386,200,10,True,True,447984,1647,13852,1218293760,1218293760
5220387,200,15,True,True,322864,1187,14033,1498935296,1498935296
5220388,200,18,True,True,318240,1170,15064,1693478912,1693478912
5220389,200,20,True,True,254048,934,13686,1628061696,1628061696
5220390,200,25,True,True,253504,932,15029,1873715200,1873715200
5220391,200,40,True,True,178160,655,14995,2540453888,2540453888
5220392,200,60,True,True,139536,513,14968,3186257920,3186257920
5220393,200,75,True,True,152592,561,15830,3783823360,3783823360
5220394,200,90,True,True,131376,483,16375,4020019200,4020019200
5220395,200,100,True,True,144160,530,17549,4431032320,4431032320
5220396,200,150,True,False,118864,437,21193,6385778688,6385778688
5220397,200,200,True,False,133824,492,23033,6755713024,6755713024
5229696,800,150,True,False,243984,897,83987,10340024320,10340024320
5229697,800,200,True,False,243440,895,112211,12600172544,12600172544
5229655,400,2,False,True,1976624,7267,14357,755855360,755855360
5229656,400,5,True,True,1578960,5805,28280,1037279232,1037279232
5229657,400,10,True,True,807840,2970,27477,1341992960,1341992960
5229658,400,15,True,True,595136,2188,28403,1640431616,1640431616
5229659,400,18,True,True,535296,1968,29519,1804746752,1804746752
5229660,400,20,True,True,431664,1587,26991,2223890432,2223890432
5229662,400,25,True,True,377808,1389,27399,2151350272,2151350272
5229663,400,40,True,True,272272,1001,27239,2712817664,2712817664
5229664,400,60,True,True,207264,762,28424,3619381248,3619381248
5229665,400,75,True,True,182784,672,30271,4393852928,4393852928
5229666,400,90,True,True,192304,707,34155,5458890752,5458890752
5229667,400,100,True,True,183328,674,37930,5526839296,5526839296
5229668,400,150,True,False,163472,601,43304,8089591808,8089591808
5229669,400,200,True,False,169728,624,47785,8865906688,8865906688
5229670,600,2,False,True,1969552,7241,14389,763006976,763006976
5229671,600,5,False,True,1971456,7248,35717,1057255424,1057255424
5229672,600,10,True,True,1222912,4496,42503,1417023488,1417023488
5229673,600,15,True,True,880192,3236,43950,2011918336,2011918336
5229674,600,18,True,True,672384,2472,40952,1896218624,1896218624
5229675,600,20,True,True,618800,2275,40952,2019110912,2019110912
5229676,600,25,True,True,476544,1752,38431,2212847616,2212847616
5229677,600,40,True,True,356048,1309,40884,3090210816,3090210816
5229678,600,60,True,True,283696,1043,44579,3881824256,3881824256
5229679,600,75,True,True,257312,946,48760,4906029056,4906029056
5229680,600,90,True,True,239632,881,49915,5465976832,5465976832
5229681,600,100,True,True,228480,840,55228,5574090752,5574090752
5229682,600,150,True,False,221952,816,64757,9081094144,9081094144
5229683,600,200,True,False,199920,735,80280,11921387520,11921387520
5229684,800,2,False,True,1972272,7251,14385,761155584,761155584
5229685,800,5,False,True,1972544,7252,35711,1046241280,1046241280
5229686,800,10,True,True,1617856,5948,56618,1484242944,1484242944
5229687,800,15,True,True,1062704,3907,54735,1761271808,1761271808
5229688,800,18,True,True,919360,3380,57158,1991344128,1991344128
5229689,800,20,True,True,783904,2882,52763,1990901760,1990901760
5229690,800,25,True,True,673200,2475,55536,2395136000,2395136000
5229691,800,40,True,True,446624,1642,54694,3149918208,3149918208
5229692,800,60,True,True,328304,1207,54172,4036517888,4036517888
5229693,800,75,True,True,301648,1109,61046,4717690880,4717690880
5229694,800,90,True,True,291584,1072,68067,5382103040,5382103040
5229695,800,100,True,True,272816,1003,71046,6083481600,6083481600
